ciudad,estacion,ciudad_api,fecha,aqi,pm25,pm10,temp,viento,humedad,fecha_descarga
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-25 12:00:00,40,38,40,8.2,3,100,2026-04-25 17:16:24.583513
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-25 12:00:00,25,25,16,18.4,1.2,50,2026-04-25 17:16:24.689203
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-25 12:00:00,50,50,33,18.2,1.5,52,2026-04-25 17:16:24.793884
Talca,La Florida 2,"La Florida 2, Chile",2026-04-25 14:00:00,30,30,20,8.2,3,100,2026-04-25 20:02:09.485948
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-25 15:00:00,46,46,18,8.2,3,100,2026-04-25 20:02:09.629987
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-25 15:00:00,39,25,39,8.2,3,100,2026-04-25 20:02:09.772233
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-25 15:00:00,21,21,17,17.9,2.5,56.7,2026-04-25 20:02:09.915492
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-25 14:00:00,153,153,37,18,2.5,56,2026-04-25 20:02:10.055204
Talca,La Florida 2,"La Florida 2, Chile",2026-04-25 16:00:00,25,25,20,8.2,3,100,2026-04-25 22:00:20.092077
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-25 17:00:00,17,17,17,8.2,3,100,2026-04-25 22:00:20.287499
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-25 17:00:00,38,38,22,8.2,3,100,2026-04-25 22:00:20.451531
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-25 17:00:00,38,38,19,15.9,2,64,2026-04-25 22:00:20.616923
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-25 17:00:00,42,42,18,15.5,2,65.2,2026-04-25 22:00:20.783307
Talca,La Florida 2,"La Florida 2, Chile",2026-04-25 17:00:00,34,34,21,8.2,3,100,2026-04-25 23:07:04.508999
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-25 18:00:00,42,42,18,8.2,3,100,2026-04-25 23:07:04.669362
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-25 18:00:00,40,34,40,8.2,3,100,2026-04-25 23:07:04.829463
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-25 18:00:00,38,38,31,12.7,1,76.5,2026-04-25 23:07:04.991883
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-25 18:00:00,57,57,29,12.6,1,77.1,2026-04-25 23:07:05.155298
Chillan,INIA Chillan,"INIA, Chillán, Chile",2026-04-25 17:00:00,82,82,37,13,1,75.5,2026-04-25 23:07:05.315241
Chillan,Puren,"Puren, Chile",2026-04-25 18:00:00,91,91,39,12.7,1,76.5,2026-04-25 23:07:05.474356
Rancagua,Rancagua II,"Rancagua II, Chile",2026-04-25 18:00:00,59,59,20,17,4.5,59.8,2026-04-25 23:07:05.634756
Rancagua,Rancagua I,"Rancagua I, Chile",2026-04-25 17:00:00,38,38,20,17.1,4.8,59.5,2026-04-25 23:07:05.794149
Temuco,Nielol,"Ñielol, Chile",2026-04-25 18:00:00,21,21,12,11.7,1,61.7,2026-04-25 23:07:05.958702
Temuco,Las Encinas,"Las Encinas Temuco, Chile",2026-04-25 18:00:00,25,25,12,11.7,1,61.7,2026-04-25 23:07:06.119296
Temuco,Padre Las Casas II,"Padre Las Casas II, Chile",2026-04-25 18:00:00,34,34,15,11.7,1,61.7,2026-04-25 23:07:06.278243
Valdivia,Valdivia 2,"Valdivia 2, Chile",2026-04-25 18:00:00,91,91,30,9.4,3.3,93,2026-04-25 23:07:06.436841
Valdivia,Valdivia,"Valdivia, Chile",2026-04-25 18:00:00,34,34,8,9.4,2,95,2026-04-25 23:07:06.595833
Osorno,Osorno,"Osorno, Chile",2026-04-25 18:00:00,53,53,17,9.4,3.3,93,2026-04-25 23:07:06.754899
Talca,La Florida 2,"La Florida 2, Chile",2026-04-25 18:00:00,25,25,20,8.2,3,100,2026-04-26 00:02:24.979186
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-25 19:00:00,65,65,27,8.2,3,100,2026-04-26 00:02:25.093055
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-25 19:00:00,57,57,40,8.2,3,100,2026-04-26 00:02:25.206494
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-25 19:00:00,55,55,31,11.2,0.1,81.6,2026-04-26 00:02:25.319309
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-25 19:00:00,99,99,51,11.2,0.1,81.4,2026-04-26 00:02:25.43218
Chillan,INIA Chillan,"INIA, Chillán, Chile",2026-04-25 18:00:00,97,97,37,11.6,0.9,79.6,2026-04-26 00:02:25.543717
Chillan,Puren,"Puren, Chile",2026-04-25 19:00:00,78,78,41,11.3,0.9,81.1,2026-04-26 00:02:25.655108
Rancagua,Rancagua II,"Rancagua II, Chile",2026-04-25 19:00:00,61,61,28,15.5,4.2,66.4,2026-04-26 00:02:25.766474
Rancagua,Rancagua I,"Rancagua I, Chile",2026-04-25 18:00:00,38,38,30,15.8,3.5,64.2,2026-04-26 00:02:25.87809
Temuco,Nielol,"Ñielol, Chile",2026-04-25 19:00:00,25,25,12,11.7,1,61.7,2026-04-26 00:02:25.989608
Temuco,Las Encinas,"Las Encinas Temuco, Chile",2026-04-25 19:00:00,59,59,20,11.7,1,61.7,2026-04-26 00:02:26.101611
Valdivia,Valdivia 2,"Valdivia 2, Chile",2026-04-25 19:00:00,91,91,14,9.5,2.7,96.2,2026-04-26 00:02:26.326641
Valdivia,Valdivia,"Valdivia, Chile",2026-04-25 19:00:00,59,59,8,9.6,2.9,95.9,2026-04-26 00:02:26.439458
Osorno,Osorno,"Osorno, Chile",2026-04-25 19:00:00,61,61,26,9.5,2.7,96.2,2026-04-26 00:02:26.551653
Talca,La Florida 2,"La Florida 2, Chile",2026-04-26 01:00:00,95,95,41,12,1.5,68.1,2026-04-26 06:35:26.300396
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-26 01:00:00,76,76,30,12,1.5,68.1,2026-04-26 06:35:26.44442
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-26 02:00:00,91,91,41,12,1.5,68.1,2026-04-26 06:35:26.585077
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-26 02:00:00,127,127,57,7.8,0.3,92.1,2026-04-26 06:35:26.725161
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-26 01:00:00,290,290,146,7.4,0.2,94,2026-04-26 06:35:26.865602
Chillan,INIA Chillan,"INIA, Chillán, Chile",2026-04-26 01:00:00,104,104,40,7.7,0.2,92,2026-04-26 06:35:27.005824
Chillan,Puren,"Puren, Chile",2026-04-26 01:00:00,80,80,31,7.4,0.2,94,2026-04-26 06:35:27.146088
Rancagua,Rancagua II,"Rancagua II, Chile",2026-04-26 02:00:00,80,80,37,11.6,7.5,66.8,2026-04-26 06:35:27.286695
Rancagua,Rancagua I,"Rancagua I, Chile",2026-04-26 01:00:00,91,91,46,11.6,9,66,2026-04-26 06:35:27.427009
Temuco,Nielol,"Ñielol, Chile",2026-04-26 02:00:00,30,30,6,9.6,1,99.3,2026-04-26 06:35:27.567423
Temuco,Las Encinas,"Las Encinas Temuco, Chile",2026-04-26 02:00:00,34,34,10,9.6,1,99.3,2026-04-26 06:35:27.70787
Temuco,Padre Las Casas II,"Padre Las Casas II, Chile",2026-04-26 01:00:00,55,55,13,9.6,1,99.3,2026-04-26 06:35:27.848072
Valdivia,Valdivia 2,"Valdivia 2, Chile",2026-04-26 01:00:00,151,151,49,10.7,3.2,79.2,2026-04-26 06:35:27.98846
